Mode,Start_Time,Animal,Weight,Unit
1,2026-06-26 01:53:49.618209,121859271,0,1
solo,2026-06-26 01:53:49.822986,0,0
1,2026-06-26 01:53:49.618209,121859271,24.155,1
OPEN,2026-06-26 01:54:29.823794,0,0
1,2026-06-26 01:54:34.854594,1218496122,0,2
1,2026-06-26 01:54:34.854594,1218496122,0,2
2,2026-06-26 01:54:39.689596,1218496122,0,2
OPEN,2026-06-26 01:55:14.855345,0,0
1,2026-06-26 01:55:40.541328,121836132,0,2
1,2026-06-26 01:55:40.541328,121836132,24.69,2
OPEN,2026-06-26 01:56:20.541926,0,0
1,2026-06-26 01:58:12.900546,121836132,0,2
1,2026-06-26 01:58:12.900546,121836132,24.49,2
1,2026-06-26 01:58:22.214339,121836132,0,1
solo,2026-06-26 01:58:22.418980,0,0
1,2026-06-26 01:58:22.214339,121836132,21.8,1
OPEN,2026-06-26 01:59:02.419670,0,0
1,2026-06-26 02:00:18.272986,1218496122,0,2
1,2026-06-26 02:00:18.272986,1218496122,26.28,2
999,2026-06-26 02:00:27.331357,1102000232,999,1
1,2026-06-26 02:00:27.336638,1218496122,0,1
solo,2026-06-26 02:00:27.539974,0,0
1,2026-06-26 02:00:27.336638,1218496122,22.6,1
OPEN,2026-06-26 02:01:07.540688,0,0
1,2026-06-26 03:50:44.477768,121859271,0,1
1,2026-06-26 03:50:44.477768,121859271,23.67,1
1,2026-06-26 03:50:55.636267,121859271,0,2
solo,2026-06-26 03:50:55.841175,0,0
1,2026-06-26 03:50:55.636267,121859271,28.61,2
OPEN,2026-06-26 03:51:35.841917,0,0
1,2026-06-26 03:56:27.670003,121859271,0,2
1,2026-06-26 03:56:27.670003,121859271,27.735,2
1,2026-06-26 03:56:37.552537,121859271,0,1
solo,2026-06-26 03:56:37.755889,0,0
1,2026-06-26 03:56:37.552537,121859271,23.98,1
OPEN,2026-06-26 03:57:17.756703,0,0
1,2026-06-26 04:08:14.826884,121836132,0,1
1,2026-06-26 04:08:14.826884,121836132,19.72,1
1,2026-06-26 04:08:25.303669,121836132,0,2
solo,2026-06-26 04:08:25.506551,0,0
1,2026-06-26 04:08:25.303669,121836132,24.335,2
OPEN,2026-06-26 04:09:05.507374,0,0
1,2026-06-26 04:15:40.187514,121836132,0,2
1,2026-06-26 04:15:40.187514,121836132,23.945,2
1,2026-06-26 04:15:49.257664,121836132,0,1
solo,2026-06-26 04:15:49.460991,0,0
1,2026-06-26 04:15:49.257664,121836132,21.45,1
OPEN,2026-06-26 04:16:29.461778,0,0
1,2026-06-26 04:25:50.975617,121836132,0,1
1,2026-06-26 04:25:50.975617,121836132,21.48,1
1,2026-06-26 04:26:02.143991,121836132,0,2
solo,2026-06-26 04:26:02.348174,0,0
2,2026-06-26 04:26:05.389886,121836132,0,2
2,2026-06-26 04:26:05.389886,121836132,24.174999999999997,2
OPEN,2026-06-26 04:26:45.392997,0,0
1,2026-06-26 04:29:09.563576,121836132,0,2
1,2026-06-26 04:29:09.563576,121836132,24.335,2
1,2026-06-26 04:29:19.422596,121836132,0,1
solo,2026-06-26 04:29:19.626696,0,0
1,2026-06-26 04:29:19.422596,121836132,20.89,1
OPEN,2026-06-26 04:29:59.627381,0,0
1,2026-06-26 04:50:16.503304,121839170,0,1
1,2026-06-26 04:50:16.503304,121839170,23.22,1
1,2026-06-26 04:50:28.057054,121839170,0,2
solo,2026-06-26 04:50:28.261584,0,0
1,2026-06-26 04:50:28.057054,121839170,25.72,2
OPEN,2026-06-26 04:51:08.262199,0,0
1,2026-06-26 05:01:41.117619,121839170,0,2
1,2026-06-26 05:01:41.117619,121839170,25.875,2
2,2026-06-26 05:01:48.141553,121839170,0,2
1,2026-06-26 05:01:56.067096,121839170,0,1
solo,2026-06-26 05:01:56.272152,0,0
1,2026-06-26 05:01:56.067096,121839170,23.23,1
OPEN,2026-06-26 05:02:36.272936,0,0
1,2026-06-26 06:10:55.861980,1218496122,0,1
1,2026-06-26 06:10:55.861980,1218496122,23.4,1
1,2026-06-26 06:11:00.339447,1218496122,0,2
solo,2026-06-26 06:11:00.544319,0,0
1,2026-06-26 06:11:00.339447,1218496122,25.88,2
OPEN,2026-06-26 06:11:40.545040,0,0
1,2026-06-26 06:22:23.166674,1218496122,0,2
1,2026-06-26 06:22:23.166674,1218496122,25.560000000000002,2
1,2026-06-26 06:22:30.986407,1218496122,0,1
solo,2026-06-26 06:22:31.191062,0,0
1,2026-06-26 06:22:30.986407,1218496122,22.475,1
OPEN,2026-06-26 06:23:11.191887,0,0
1,2026-06-26 06:29:42.198778,1218496122,0,1
1,2026-06-26 06:29:42.198778,1218496122,23.35,1
1,2026-06-26 06:29:53.121781,1218496122,0,2
solo,2026-06-26 06:29:53.326584,0,0
1,2026-06-26 06:29:53.121781,1218496122,26.299999999999997,2
OPEN,2026-06-26 06:30:33.327204,0,0
1,2026-06-26 06:35:27.347473,12186133157,0,1
1,2026-06-26 06:35:27.347473,12186133157,22.69,1
OPEN,2026-06-26 06:36:09.050853,0,0
1,2026-06-26 06:39:56.062420,121836132,0,1
1,2026-06-26 06:39:56.062420,121836132,19.09,1
1,2026-06-26 06:40:16.235736,121836132,0,2
solo,2026-06-26 06:40:16.441964,0,0
2,2026-06-26 06:40:19.474850,121836132,0,2
2,2026-06-26 06:40:19.474850,121836132,24.23,2
3,2026-06-26 06:40:20.649519,121836132,0,2
OPEN,2026-06-26 06:41:00.652557,0,0
1,2026-06-26 06:41:04.182965,12186133157,0,2
1,2026-06-26 06:41:04.182965,12186133157,25.79,2
1,2026-06-26 06:41:21.566349,12186133157,0,1
solo,2026-06-26 06:41:21.770207,0,0
1,2026-06-26 06:41:21.566349,12186133157,22.82,1
OPEN,2026-06-26 06:42:01.770927,0,0
1,2026-06-26 06:42:16.525172,12186133157,0,1
1,2026-06-26 06:42:16.525172,12186133157,22.85,1
1,2026-06-26 06:42:31.918874,12186133157,0,2
solo,2026-06-26 06:42:32.123517,0,0
1,2026-06-26 06:42:31.918874,12186133157,26.425,2
OPEN,2026-06-26 06:43:12.124336,0,0
1,2026-06-26 06:43:17.069376,121859271,0,1
1,2026-06-26 06:43:17.069376,121859271,23.62,1
1,2026-06-26 06:43:31.596895,121859271,0,2
solo,2026-06-26 06:43:31.800538,0,0
1,2026-06-26 06:43:31.596895,121859271,26.69,2
OPEN,2026-06-26 06:44:11.801182,0,0
1,2026-06-26 06:46:01.520669,121836132,0,2
1,2026-06-26 06:46:01.520669,121836132,24.405,2
1,2026-06-26 06:46:11.373920,121836132,0,1
solo,2026-06-26 06:46:11.578631,0,0
1,2026-06-26 06:46:11.373920,121836132,21.205,1
2,2026-06-26 06:46:27.898587,12186133157,0,2
2,2026-06-26 06:46:48.606310,12186133157,0,1
OPEN,2026-06-26 06:47:28.609229,0,0
1,2026-06-26 06:47:44.346072,121859271,0,2
1,2026-06-26 06:47:44.346072,121859271,26.025,2
1,2026-06-26 06:47:57.488704,121859271,0,1
solo,2026-06-26 06:47:57.692350,0,0
1,2026-06-26 06:47:57.488704,121859271,23.59,1
OPEN,2026-06-26 06:48:37.693197,0,0
1,2026-06-26 06:54:01.613183,1218496122,0,2
1,2026-06-26 06:54:01.613183,1218496122,26.125,2
999,2026-06-26 06:54:09.519607,1102000232,999,1
1,2026-06-26 06:54:09.525071,1218496122,0,1
solo,2026-06-26 06:54:09.729002,0,0
1,2026-06-26 06:54:09.525071,1218496122,23.305,1
OPEN,2026-06-26 06:54:49.729703,0,0
1,2026-06-26 06:55:14.926999,12186133157,0,1
1,2026-06-26 06:55:14.926999,12186133157,22.79,1
1,2026-06-26 06:55:22.952753,12186133157,0,2
solo,2026-06-26 06:55:23.157312,0,0
2,2026-06-26 06:55:25.589534,12186133157,0,2
2,2026-06-26 06:55:25.589534,12186133157,26.6,2
OPEN,2026-06-26 06:56:05.592348,0,0
1,2026-06-26 07:03:59.620879,12186133157,0,2
1,2026-06-26 07:03:59.620879,12186133157,25.505000000000003,2
1,2026-06-26 07:04:11.547044,12186133157,0,1
solo,2026-06-26 07:04:11.750869,0,0
1,2026-06-26 07:04:11.547044,12186133157,23.52,1
OPEN,2026-06-26 07:04:51.751605,0,0
1,2026-06-26 07:14:05.071145,12186133157,0,1
1,2026-06-26 07:14:05.071145,12186133157,22.405,1
1,2026-06-26 07:14:24.068915,12186133157,0,2
solo,2026-06-26 07:14:24.272841,0,0
1,2026-06-26 07:14:24.068915,12186133157,26.88,2
OPEN,2026-06-26 07:15:04.273657,0,0
1,2026-06-26 07:29:54.110721,12186133157,0,2
1,2026-06-26 07:29:54.110721,12186133157,26.22,2
1,2026-06-26 07:30:23.860790,12186133157,0,1
solo,2026-06-26 07:30:24.065083,0,0
1,2026-06-26 07:30:23.860790,12186133157,23.090000000000003,1
OPEN,2026-06-26 07:31:04.065901,0,0
1,2026-06-26 07:43:54.656674,121839170,0,1
1,2026-06-26 07:43:54.656674,121839170,23.24,1
1,2026-06-26 07:44:02.988135,121839170,0,2
solo,2026-06-26 07:44:03.192423,0,0
1,2026-06-26 07:44:02.988135,121839170,27.68,2
OPEN,2026-06-26 07:44:43.193206,0,0
1,2026-06-26 07:51:52.932038,121839170,0,2
1,2026-06-26 07:51:52.932038,121839170,25.795,2
1,2026-06-26 07:52:05.801167,121839170,0,1
solo,2026-06-26 07:52:06.004760,0,0
1,2026-06-26 07:52:05.801167,121839170,22.725,1
OPEN,2026-06-26 07:52:46.005481,0,0
1,2026-06-26 07:53:21.804191,121839170,0,1
1,2026-06-26 07:53:21.804191,121839170,22.945,1
2,2026-06-26 07:53:35.638763,121839170,0,1
OPEN,2026-06-26 07:55:08.324850,0,0
